"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村 コード","全国，都道府県，市区町村","/表章事項","2015年（平成27年）の人口（組替）【人】","世帯数【世帯】","2015年（平成27年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2020000000","2020年","00000","全国","","127,094,745","55,719,562","53,448,685","-868,177","-0.68309","2,270,877","4.24871","94.59422","377,976.41","338.4"
"2020000000","2020年","01000","北海道","","5,381,733","2,471,140","2,444,810","-152,848","-2.84013","26,330","1.07698","89.22583","83,424.44","66.7"
"2020000000","2020年","01100","札幌市","","1,952,356","966,009","921,837","22,709","1.16316","44,172","4.79174","86.97477","1,121.26","1,761.5"
"2020000000","2020年","01101","札幌市中央区","","237,627","140,898","132,006","11,213","4.71874","8,892","6.73606","82.92486","46.42","5,360.6"
"2020000000","2020年","01102","札幌市北区","","285,321","139,019","133,662","4,346","1.52320","5,357","4.00787","89.30504","63.57","4,556.7"
"2020000000","2020年","01103","札幌市東区","","261,912","131,156","124,425","3,624","1.38367","6,731","5.40968","90.27201","56.97","4,661.0"
"2020000000","2020年","01104","札幌市白石区","","209,584","107,667","104,608","2,417","1.15324","3,059","2.92425","89.40499","34.47","6,150.3"
"2020000000","2020年","01105","札幌市豊平区","","218,652","118,256","110,171","6,830","3.12369","8,085","7.33859","85.88941","46.23","4,877.4"
"2020000000","2020年","01106","札幌市南区","","141,190","62,013","61,291","-5,224","-3.69998","722","1.17799","84.76905","657.48","206.8"
"2020000000","2020年","01107","札幌市西区","","213,578","103,480","97,750","3,652","1.70991","5,730","5.86189","85.42419","75.10","2,892.5"
"2020000000","2020年","01108","札幌市厚別区","","127,767","57,208","55,585","-2,585","-2.02321","1,623","2.91985","82.90498","24.38","5,134.6"
"2020000000","2020年","01109","札幌市手稲区","","140,999","60,775","57,333","1,713","1.21490","3,442","6.00352","88.28931","56.77","2,513.9"
"2020000000","2020年","01110","札幌市清田区","","115,726","45,537","45,006","-3,277","-2.83169","531","1.17984","88.93593","59.87","1,878.2"
"2020000000","2020年","01202","函館市","","265,979","121,570","123,950","-14,708","-5.52976","-2,380","-1.92013","83.01007","677.87","370.7"
"2020000000","2020年","01203","小樽市","","121,924","52,704","55,466","-10,502","-8.61356","-2,762","-4.97963","81.84222","243.83","457.0"
"2020000000","2020年","01204","旭川市","","339,605","156,185","155,747","-10,092","-2.97169","438","0.28123","85.79709","747.66","440.7"
"2020000000","2020年","01205","室蘭市","","88,564","41,496","43,616","-6,107","-6.89558","-2,120","-4.86060","96.07410","81.01","1,017.9"
"2020000000","2020年","01206","釧路市","","174,742","80,161","82,078","-9,512","-5.44345","-1,917","-2.33558","88.36499","1,363.29","121.2"
"2020000000","2020年","01207","帯広市","","169,327","80,104","77,707","-2,637","-1.55734","2,397","3.08466","91.49205","619.34","269.1"
"2020000000","2020年","01208","北見市","","121,226","55,070","56,202","-5,618","-4.63432","-1,132","-2.01416","89.93855","1,427.41","81.0"
"2020000000","2020年","01209","夕張市","","8,843","3,814","4,539","-1,502","-16.98519","-725","-15.97268","85.56623","763.07","9.6"
"2020000000","2020年","01210","岩見沢市","","84,499","35,381","36,155","-5,075","-6.00599","-774","-2.14078","87.82576","481.02","165.1"
"2020000000","2020年","01211","網走市","","39,077","17,241","18,035","-3,294","-8.42951","-794","-4.40255","101.95846","471.00","76.0"
"2020000000","2020年","01212","留萌市","","22,221","9,795","10,402","-2,098","-9.44152","-607","-5.83542","92.19675","297.84","67.6"
"2020000000","2020年","01213","苫小牧市","","172,737","79,994","78,298","-2,503","-1.44902","1,696","2.16608","96.40949","561.57","303.1"
"2020000000","2020年","01214","稚内市","","36,380","16,053","16,486","-2,796","-7.68554","-433","-2.62647","98.26436","761.47","44.1"
"2020000000","2020年","01215","美唄市","","23,035","9,401","10,173","-2,605","-11.30888","-772","-7.58872","88.08691","277.69","73.6"
"2020000000","2020年","01216","芦別市","","14,676","6,048","6,862","-2,098","-14.29545","-814","-11.86243","84.69897","865.04","14.5"
"2020000000","2020年","01217","江別市","","120,636","53,925","51,983","509","0.42193","1,942","3.73584","90.47656","187.38","646.5"
"2020000000","2020年","01218","赤平市","","11,105","4,491","4,980","-1,398","-12.58892","-489","-9.81928","82.53103","129.88","74.7"
"2020000000","2020年","01219","紋別市","","23,109","11,213","11,127","-1,885","-8.15700","86","0.77289","87.50773","830.67","25.6"
